iter	Passed	Remaining
0	1	123
1	2	123
2	3	110
3	4	99
4	5	104
5	6	106
6	7	102
7	8	100
8	9	98
9	10	94
10	11	92
11	12	89
12	13	87
13	13	85
14	14	83
15	16	84
16	17	83
17	18	82
18	19	82
19	21	86
20	23	87
21	24	85
22	25	84
23	26	82
24	27	81
25	28	80
26	29	79
27	30	78
28	31	76
29	32	75
30	32	73
31	33	71
32	34	70
33	35	69
34	37	69
35	38	68
36	39	67
37	40	65
38	40	63
39	41	62
40	42	60
41	42	58
42	43	57
43	43	55
44	44	54
45	45	53
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	86	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	90	3
96	92	2
97	92	1
98	93	0
99	94	0
